TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,DienTich_m2,Gia,Quan,Gia_m2,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Log_Gia
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản,Khác,Khác,KXĐ,63.0,1.6,Quận Bình Tân,0.025396825396825397,4.0,21.0,0.6666666666666666,0.9555114450274363
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,Phải,95.0,5.3,Khác,0.05578947368421053,5.0,23.75,1.0,1.840549633397487
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Đầy đủ,Khác,Khác,KXĐ,40.0,0.295,Huyện Hóc Môn,0.007375,3.0,13.333333333333334,1.0,0.25851069515150105
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác, Đông Nam,KXĐ,68.0,2.4,Khác,0.03529411764705882,4.0,22.666666666666668,0.6666666666666666,1.2237754316221157
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,69.0,2.6,Khác,0.03768115942028986,4.0,23.0,0.6666666666666666,1.2809338454620642
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,69.36,2.78,Huyện Nhà Bè,0.04008073817762399,4.0,23.12,0.6666666666666666,1.3297240096314962
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản,Khác,Khác,KXĐ,62.5,2.2,Huyện Nhà Bè,0.0352,4.0,20.833333333333332,0.6666666666666666,1.1631508098056809
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Tây Bắc, Đông Nam,KXĐ,69.0,2.43,Huyện Bình Chánh,0.035217391304347825,4.0,23.0,0.6666666666666666,1.2325602611778486
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác, Nam,Phải,85.0,2.0,Quận Tân Phú,0.023529411764705882,5.0,21.25,1.0,1.0986122886681098
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ, Nam, Bắc,KXĐ,83.0,3.5,Huyện Nhà Bè,0.04216867469879518,5.0,20.75,1.0,1.5040773967762742
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,Phải,90.0,2.95,Thành phố Thủ Đức,0.03277777777777778,5.0,22.5,1.0,1.3737155789130306
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,73.0,3.7,Thành phố Thủ Đức,0.050684931506849315,4.0,24.333333333333332,0.6666666666666666,1.547562508716013
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,79.0,1.8,Khác,0.02278481012658228,4.0,26.333333333333332,0.6666666666666666,1.0296194171811581
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,51.0,1.75,Thành phố Thủ Đức,0.03431372549019608,4.0,17.0,0.6666666666666666,1.0116009116784799
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Tây Bắc, Đông Nam,KXĐ,62.0,1.93,Thành phố Thủ Đức,0.031129032258064515,4.0,20.666666666666668,0.6666666666666666,1.0750024230289759
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Nam, Bắc,KXĐ,75.0,2.61,Huyện Bình Chánh,0.0348,4.0,25.0,0.6666666666666666,1.2837077723447896
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,62.0,1.98,Thành phố Thủ Đức,0.03193548387096774,4.0,20.666666666666668,0.6666666666666666,1.091923300517313
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,56.0,2.0,Khác,0.03571428571428571,4.0,18.666666666666668,0.6666666666666666,1.0986122886681098
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,75.8,4.27,Thành phố Thủ Đức,0.05633245382585752,4.0,25.266666666666666,0.6666666666666666,1.6620303625532709
 Đã bàn giao,1.0,1.0,Loại Văn Phòng, Đang chờ sổ,Cao cấp, Tây, Đông,KXĐ,49.0,1.97,Khác,0.04020408163265306,2.0,24.5,0.5,1.0885619528146082
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đã có sổ,Cơ bản,Khác,Khác,KXĐ,40.0,0.47000000000000003,Khác,0.01175,2.0,20.0,0.5,0.38526240079064494
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,90.0,4.4,Quận Tân Phú,0.04888888888888889,4.0,30.0,0.6666666666666666,1.6863989535702288
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản, Nam, Bắc,Phải,85.0,4.9,Quận Phú Nhuận,0.05764705882352942,5.0,21.25,1.0,1.7749523509116738
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp, Tây Bắc,Khác,KXĐ,83.0,2.95,Khác,0.035542168674698796,4.0,27.666666666666668,0.6666666666666666,1.3737155789130306
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác, Đông,KXĐ,65.0,1.8,Khác,0.027692307692307693,3.0,21.666666666666668,1.0,1.0296194171811581
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,62.0,2.0,Khác,0.03225806451612903,4.0,20.666666666666668,0.6666666666666666,1.0986122886681098
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Đông Bắc, Tây Nam,KXĐ,73.6,3.85,Quận Tân Phú,0.052309782608695655,4.0,24.53333333333333,0.6666666666666666,1.5789787049493917
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,KXĐ,49.0,2.98,Quận Bình Thạnh,0.060816326530612246,2.0,24.5,0.5,1.3812818192963463
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,78.0,2.08,Khác,0.02666666666666667,4.0,26.0,0.6666666666666666,1.1249295969854831
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô, Tây Bắc,Khác,KXĐ,45.0,3.1,Quận Bình Thạnh,0.06888888888888889,4.0,15.0,0.6666666666666666,1.410986973710262
