TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,DienTich_m2,Gia,Quan,Gia_m2,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Log_Gia
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,66.0,1.963,Huyện Bình Chánh,0.029742424242424244,4.0,22.0,0.6666666666666666,1.0862022685914283
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,Phải,95.0,5.3,Khác,0.05578947368421053,5.0,23.75,1.0,1.840549633397487
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Nam, Bắc,Phải,64.0,1.72,Quận Bình Tân,0.026875,4.0,21.333333333333332,0.6666666666666666,1.000631880307906
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản, Nam, Bắc,Phải,85.0,4.9,Quận Phú Nhuận,0.05764705882352942,5.0,21.25,1.0,1.7749523509116738
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Cơ bản,Khác,Khác,Phải,54.0,2.45,Khác,0.04537037037037037,3.0,18.0,1.0,1.2383742310432684
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp,Khác,Khác,Phải,48.0,1.8,Khác,0.0375,4.0,16.0,0.6666666666666666,1.0296194171811581
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Đông Nam, Tây Bắc,Phải,76.0,3.6,Thành phố Thủ Đức,0.04736842105263158,4.0,25.333333333333332,0.6666666666666666,1.5260563034950492
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,73.0,3.1,Quận Bình Thạnh,0.04246575342465753,4.0,24.333333333333332,0.6666666666666666,1.410986973710262
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,43.0,1.3,Khác,0.030232558139534883,3.0,14.333333333333334,1.0,0.832909122935104
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Cao cấp,Khác,Khác,KXĐ,62.0,0.028,Thành phố Thủ Đức,0.0004516129032258065,2.0,31.0,0.5,0.027615167032973367
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,66.0,2.4,Thành phố Thủ Đức,0.03636363636363636,4.0,22.0,0.6666666666666666,1.2237754316221157
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Tây Bắc,KXĐ,79.0,4.612,Thành phố Thủ Đức,0.05837974683544304,4.0,26.333333333333332,0.6666666666666666,1.7249071622402146
 Đã bàn giao,2.0,1.0,Loại Văn Phòng, Đã có sổ,Cao cấp,Khác,Khác,KXĐ,35.0,0.135,Huyện Hóc Môn,0.0038571428571428576,3.0,11.666666666666666,1.0,0.126632650933366
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,68.0,2.39,Thành phố Thủ Đức,0.03514705882352941,4.0,22.666666666666668,0.6666666666666666,1.220829921392359
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp,Khác,Khác,Phải,65.0,0.16,Huyện Hóc Môn,0.0024615384615384616,4.0,21.666666666666668,0.6666666666666666,0.1484200051182733
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Tây, Đông,KXĐ,62.0,1.95,Quận Tân Phú,0.031451612903225803,4.0,20.666666666666668,0.6666666666666666,1.0818051703517284
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Đầy đủ,Khác,Khác,KXĐ,65.0,1.72,Khác,0.02646153846153846,4.0,21.666666666666668,0.6666666666666666,1.000631880307906
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ,Khác,Khác,KXĐ,40.0,0.99,Quận Bình Tân,0.02475,3.0,13.333333333333334,1.0,0.688134638736401
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,62.0,2.03,Thành phố Thủ Đức,0.032741935483870964,4.0,20.666666666666668,0.6666666666666666,1.1085626195212777
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,65.0,1.75,Thành phố Thủ Đức,0.026923076923076925,4.0,21.666666666666668,0.6666666666666666,1.0116009116784799
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Tây Bắc, Đông Nam,KXĐ,73.0,2.412,Khác,0.03304109589041096,4.0,24.333333333333332,0.6666666666666666,1.2272986296294326
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,Phải,95.0,5.3,Khác,0.05578947368421053,5.0,23.75,1.0,1.840549633397487
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Nam, Bắc,Phải,64.0,1.72,Quận Bình Tân,0.026875,4.0,21.333333333333332,0.6666666666666666,1.000631880307906
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,55.0,1.5,Huyện Bình Chánh,0.02727272727272727,4.0,18.333333333333332,0.6666666666666666,0.9162907318741551
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Đông Nam,Khác,Phải,89.0,5.7,Khác,0.06404494382022471,5.0,22.25,1.0,1.9021075263969205
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Đông Bắc, Tây Nam,Phải,63.0,1.79,Quận Bình Tân,0.028412698412698414,4.0,21.0,0.6666666666666666,1.0260415958332743
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,65.0,2.4,Thành phố Thủ Đức,0.03692307692307692,4.0,21.666666666666668,0.6666666666666666,1.2237754316221157
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đang chờ sổ,Thô, Bắc, Nam,KXĐ,63.0,2.65,Quận Bình Tân,0.04206349206349206,3.0,21.0,1.0,1.2947271675944
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,67.0,1.7,Thành phố Thủ Đức,0.025373134328358207,4.0,22.333333333333332,0.6666666666666666,0.9932517730102833
 Đã bàn giao,1.0,1.0,Loại Văn Phòng, Đang chờ sổ,Thô,Khác,Khác,KXĐ,32.0,0.28,Huyện Hóc Môn,0.00875,2.0,16.0,0.5,0.2468600779315258
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,54.0,2.05,Thành phố Thủ Đức,0.03796296296296296,3.0,18.0,1.0,1.1151415906193203
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,Phải,70.0,2.55,Quận Tân Phú,0.03642857142857143,4.0,23.333333333333332,0.6666666666666666,1.2669476034873244
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cao cấp,Khác,Khác,Phải,85.0,3.05,Thành phố Thủ Đức,0.03588235294117647,5.0,21.25,1.0,1.3987168811184478
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,64.0,3.0,Thành phố Thủ Đức,0.046875,4.0,21.333333333333332,0.6666666666666666,1.3862943611198906
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô, Đông Nam,Khác,KXĐ,90.0,1.82,Khác,0.02022222222222222,4.0,30.0,0.6666666666666666,1.0367368849500223
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Cao cấp,Khác,Khác,Phải,54.0,0.519,Huyện Nhà Bè,0.009611111111111112,3.0,18.0,1.0,0.4180522236136358
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,75.0,2.33,Thành phố Thủ Đức,0.031066666666666666,4.0,25.0,0.6666666666666666,1.2029723039923526
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,89.0,2.75,Thành phố Thủ Đức,0.03089887640449438,5.0,22.25,1.0,1.3217558399823195
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,50.0,1.74,Khác,0.0348,4.0,16.666666666666668,0.6666666666666666,1.007957920399979
 Chưa bàn giao,2.0,1.0,Loại Văn Phòng, Giấy tờ khác,Thô,Khác,Khác,KXĐ,40.0,0.47500000000000003,Quận Bình Tân,0.011875,3.0,13.333333333333334,1.0,0.3886579897917832
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,55.0,2.6,Khác,0.04727272727272727,4.0,18.333333333333332,0.6666666666666666,1.2809338454620642
 Đã bàn giao,3.0,3.0,Loại Chung Cư, Đã có sổ,Thô, Đông,Khác,KXĐ,70.0,1.4,Thành phố Thủ Đức,0.02,6.0,17.5,0.75,0.8754687373538999
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô, Đông Nam,Khác,Phải,60.0,1.85,Thành phố Thủ Đức,0.030833333333333334,4.0,20.0,0.6666666666666666,1.0473189942805592
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản, Nam, Bắc,Phải,85.0,4.9,Quận Phú Nhuận,0.05764705882352942,5.0,21.25,1.0,1.7749523509116738
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Đông Nam, Tây Bắc,KXĐ,70.0,4.0,Quận Tân Bình,0.05714285714285714,2.0,35.0,0.5,1.6094379124341003
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp, Tây Bắc,Khác,KXĐ,83.0,2.95,Khác,0.035542168674698796,4.0,27.666666666666668,0.6666666666666666,1.3737155789130306
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,Phải,95.0,5.3,Khác,0.05578947368421053,5.0,23.75,1.0,1.840549633397487
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Tây Bắc, Đông Nam,KXĐ,61.0,1.29,Thành phố Thủ Đức,0.021147540983606557,4.0,20.333333333333332,0.6666666666666666,0.8285518175661483
 Chưa bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản,Khác,Khác,Phải,95.0,4.7,Khác,0.049473684210526316,5.0,23.75,1.0,1.7404661748405046
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,56.0,1.27,Thành phố Thủ Đức,0.02267857142857143,3.0,18.666666666666668,1.0,0.8197798314933114
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,60.0,1.1,Thành phố Thủ Đức,0.018333333333333333,4.0,20.0,0.6666666666666666,0.7419373447293773
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Bắc, Tây Nam,KXĐ,71.0,3.989321,Thành phố Thủ Đức,0.05618761971830986,4.0,23.666666666666668,0.6666666666666666,1.6072998283604847
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,66.0,2.2,Thành phố Thủ Đức,0.03333333333333333,4.0,22.0,0.6666666666666666,1.1631508098056809
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Đông Nam,KXĐ,70.0,0.3,Thành phố Thủ Đức,0.004285714285714286,4.0,23.333333333333332,0.6666666666666666,0.262364264467491
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Cao cấp,Khác,Khác,KXĐ,70.0,3.98,Quận Phú Nhuận,0.056857142857142856,4.0,23.333333333333332,0.6666666666666666,1.6054298910365616
 Chưa bàn giao,2.0,1.0,Loại Văn Phòng, Giấy tờ khác,Thô,Khác,Khác,KXĐ,40.0,0.5,Quận Bình Tân,0.0125,3.0,13.333333333333334,1.0,0.4054651081081644
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,60.0,1.65,Thành phố Thủ Đức,0.0275,4.0,20.0,0.6666666666666666,0.9745596399981308
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Cao cấp, Tây Bắc, Nam,Phải,54.0,1.5,Khác,0.027777777777777776,3.0,18.0,1.0,0.9162907318741551
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Tây Bắc,KXĐ,73.0,0.015,Quận Phú Nhuận,0.0002054794520547945,4.0,24.333333333333332,0.6666666666666666,0.014888612493750654
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô, Nam, Bắc,KXĐ,70.0,2.6,Khác,0.037142857142857144,4.0,23.333333333333332,0.6666666666666666,1.2809338454620642
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,77.0,2.2,Thành phố Thủ Đức,0.028571428571428574,5.0,19.25,1.0,1.1631508098056809
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,65.0,2.2,Khác,0.03384615384615385,4.0,21.666666666666668,0.6666666666666666,1.1631508098056809
 Chưa bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Tây Bắc,Phải,101.0,6.184,Thành phố Thủ Đức,0.06122772277227723,5.0,25.25,1.0,1.9718563309998984
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,70.0,1.83,Khác,0.026142857142857145,4.0,23.333333333333332,0.6666666666666666,1.0402767116551463
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Đông Nam, Bắc,Phải,107.0,4.5,Thành phố Thủ Đức,0.04205607476635514,5.0,26.75,1.0,1.7047480922384253
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,85.0,5.68,Quận Phú Nhuận,0.0668235294117647,5.0,21.25,1.0,1.8991179875485542
 Chưa bàn giao,2.0,2.0,Loại Văn Phòng, Giấy tờ khác,Thô,Khác,Khác,KXĐ,40.0,0.51,Quận Bình Tân,0.012750000000000001,4.0,13.333333333333334,0.6666666666666666,0.412109650826833
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,75.0,2.52,Thành phố Thủ Đức,0.0336,4.0,25.0,0.6666666666666666,1.2584609896100056
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản, Nam, Bắc,Phải,85.0,4.9,Quận Phú Nhuận,0.05764705882352942,5.0,21.25,1.0,1.7749523509116738
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,53.0,1.5,Thành phố Thủ Đức,0.02830188679245283,3.0,17.666666666666668,1.0,0.9162907318741551
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Đông Bắc, Tây Nam,KXĐ,60.45,1.69,Thành phố Thủ Đức,0.027956989247311825,4.0,20.150000000000002,0.6666666666666666,0.9895411936137477
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp, Nam, Bắc,KXĐ,70.12,2.85,Khác,0.040644609241300624,4.0,23.373333333333335,0.6666666666666666,1.3480731482996928
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,65.4,2.1,Huyện Bình Chánh,0.03211009174311927,4.0,21.8,0.6666666666666666,1.1314021114911006
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Đông Bắc, Tây Nam,KXĐ,60.45,1.69,Thành phố Thủ Đức,0.027956989247311825,4.0,20.150000000000002,0.6666666666666666,0.9895411936137477
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,30.1,1.39,Thành phố Thủ Đức,0.046179401993355476,2.0,15.05,0.5,0.8712933659434193
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Nam, Bắc,KXĐ,84.0,3.55,Quận Gò Vấp,0.04226190476190476,4.0,28.0,0.6666666666666666,1.5151272329628591
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Thô, Đông Nam,Khác,KXĐ,60.0,1.45,Khác,0.024166666666666666,3.0,20.0,1.0,0.8960880245566356
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Cơ bản,Khác,Khác,KXĐ,76.0,2.1,Thành phố Thủ Đức,0.027631578947368424,3.0,25.333333333333332,1.0,1.1314021114911006
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Cơ bản,Khác,Khác,KXĐ,48.0,1.5,Khác,0.03125,2.0,24.0,0.5,0.9162907318741551
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Đông Bắc, Đông Nam,Phải,52.0,3.161,Khác,0.06078846153846154,3.0,17.333333333333332,1.0,1.4257554300008042
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,73.0,2.2,Thành phố Thủ Đức,0.030136986301369864,4.0,24.333333333333332,0.6666666666666666,1.1631508098056809
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,70.0,1.75,Thành phố Thủ Đức,0.025,4.0,23.333333333333332,0.6666666666666666,1.0116009116784799
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,72.0,2.5,Thành phố Thủ Đức,0.034722222222222224,4.0,24.0,0.6666666666666666,1.252762968495368
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,48.5,2.38,Thành phố Thủ Đức,0.04907216494845361,2.0,24.25,0.5,1.2178757094949273
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Đã có sổ,Cao cấp,Khác,Khác,KXĐ,54.0,0.34,Khác,0.006296296296296296,3.0,18.0,1.0,0.29266961396282
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Thô, Đông Nam, Tây Bắc,KXĐ,46.0,1.55,Thành phố Thủ Đức,0.03369565217391304,2.0,23.0,0.5,0.9360933591703349
 Chưa bàn giao,2.0,1.0,Loại Văn Phòng, Giấy tờ khác,Thô,Khác,Khác,KXĐ,40.0,0.525,Quận Bình Tân,0.013125000000000001,3.0,13.333333333333334,1.0,0.42199441005937494
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Tây Bắc, Đông Nam,Phải,58.0,2.985,Khác,0.05146551724137931,2.0,29.0,0.5,1.3825373122421782
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản,Khác, Đông Nam,Phải,56.0,1.25,Khác,0.022321428571428572,4.0,18.666666666666668,0.6666666666666666,0.8109302162163288
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,KXĐ,71.0,2.6,Huyện Nhà Bè,0.036619718309859155,4.0,23.666666666666668,0.6666666666666666,1.2809338454620642
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,48.0,0.012,Thành phố Thủ Đức,0.00025,2.0,24.0,0.5,0.011928570865273802
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ,Khác, Đông Bắc,Phải,68.0,0.5,Khác,0.007352941176470588,4.0,22.666666666666668,0.6666666666666666,0.4054651081081644
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,62.0,2.0,Khác,0.03225806451612903,4.0,20.666666666666668,0.6666666666666666,1.0986122886681098
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Đông Nam,KXĐ,75.0,2.58,Quận Bình Tân,0.0344,4.0,25.0,0.6666666666666666,1.275362800412609
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp, Nam, Bắc,KXĐ,70.12,2.85,Khác,0.040644609241300624,4.0,23.373333333333335,0.6666666666666666,1.3480731482996928
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô, Đông Nam,Khác,Phải,89.0,5.7,Khác,0.06404494382022471,5.0,22.25,1.0,1.9021075263969205
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,84.0,3.6,Quận Tân Phú,0.04285714285714286,5.0,21.0,1.0,1.5260563034950492
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Đầy đủ,Khác,Khác,KXĐ,70.0,3.2,Khác,0.045714285714285714,4.0,23.333333333333332,0.6666666666666666,1.4350845252893227
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,KXĐ,80.0,3.15,Thành phố Thủ Đức,0.039375,5.0,20.0,1.0,1.423108334242607
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,Phải,66.0,0.45,Huyện Nhà Bè,0.006818181818181819,4.0,22.0,0.6666666666666666,0.37156355643248307
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,65.0,2.1,Khác,0.03230769230769231,4.0,21.666666666666668,0.6666666666666666,1.1314021114911006
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,73.0,4.95,Khác,0.06780821917808219,4.0,24.333333333333332,0.6666666666666666,1.7833912195575383
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ, Nam, Bắc,KXĐ,72.0,2.48,Huyện Bình Chánh,0.034444444444444444,4.0,24.0,0.6666666666666666,1.247032293786383
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,70.0,1.85,Quận Bình Thạnh,0.02642857142857143,4.0,23.333333333333332,0.6666666666666666,1.0473189942805592
 Chưa bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,55.0,1.7,Khác,0.030909090909090907,3.0,18.333333333333332,1.0,0.9932517730102833
 Chưa bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản, Tây Bắc, Đông Nam,Phải,96.0,6.95,Quận Tân Phú,0.07239583333333334,5.0,24.0,1.0,2.0731719286662407
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Tây, Đông,KXĐ,72.0,2.65,Quận Tân Phú,0.03680555555555556,4.0,24.0,0.6666666666666666,1.2947271675944
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,Phải,81.0,3.49,Khác,0.04308641975308642,5.0,20.25,1.0,1.501852701754163
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Đầy đủ, Tây Nam, Đông Nam,Phải,96.0,4.5,Khác,0.046875,5.0,24.0,1.0,1.7047480922384253
 Chưa bàn giao,2.0,1.0,Loại Văn Phòng, Giấy tờ khác,Thô,Khác,Khác,KXĐ,40.0,0.5,Quận Bình Tân,0.0125,3.0,13.333333333333334,1.0,0.4054651081081644
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp,Khác,Khác,KXĐ,71.0,0.015,Quận Tân Phú,0.0002112676056338028,4.0,23.666666666666668,0.6666666666666666,0.014888612493750654
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Bắc, Tây Nam,KXĐ,59.1,0.8290000000000001,Thành phố Thủ Đức,0.014027072758037227,2.0,29.55,0.5,0.6037693694087286
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,66.0,3.07,Quận Tân Phú,0.04651515151515151,4.0,22.0,0.6666666666666666,1.4036429994545037
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,65.0,2.75,Quận Tân Phú,0.04230769230769231,4.0,21.666666666666668,0.6666666666666666,1.3217558399823195
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,75.0,2.52,Thành phố Thủ Đức,0.0336,4.0,25.0,0.6666666666666666,1.2584609896100056
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Đông Bắc, Tây Nam,KXĐ,60.45,1.69,Thành phố Thủ Đức,0.027956989247311825,4.0,20.150000000000002,0.6666666666666666,0.9895411936137477
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cơ bản, Đông, Tây,KXĐ,68.0,1.6,Quận Bình Tân,0.023529411764705882,4.0,22.666666666666668,0.6666666666666666,0.9555114450274363
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Cơ bản, Nam, Bắc,Phải,85.0,4.9,Quận Phú Nhuận,0.05764705882352942,5.0,21.25,1.0,1.7749523509116738
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Đông Bắc, Tây Nam,Phải,97.0,3.55,Khác,0.03659793814432989,4.0,32.333333333333336,0.6666666666666666,1.5151272329628591
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,Phải,34.0,0.53,Quận Bình Tân,0.015588235294117648,2.0,17.0,0.5,0.4252677354043441
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Nam, Tây,KXĐ,65.0,4.2,Khác,0.06461538461538462,4.0,21.666666666666668,0.6666666666666666,1.6486586255873816
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,80.0,2.12,Thành phố Thủ Đức,0.026500000000000003,4.0,26.666666666666668,0.6666666666666666,1.1378330018213911
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,KXĐ,102.0,6.5,Quận Bình Thạnh,0.06372549019607843,4.0,34.0,0.6666666666666666,2.0149030205422647
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,76.0,3.6,Khác,0.04736842105263158,4.0,25.333333333333332,0.6666666666666666,1.5260563034950492
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,59.0,2.4,Huyện Bình Chánh,0.04067796610169491,4.0,19.666666666666668,0.6666666666666666,1.2237754316221157
 Chưa bàn giao,2.0,1.0,Loại Văn Phòng, Giấy tờ khác,Thô,Khác,Khác,KXĐ,40.0,0.99,Quận Bình Tân,0.02475,3.0,13.333333333333334,1.0,0.688134638736401
