TinhTrangBDS,PhongNgu,PhongTam,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DienTich_m2,Gia,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Quan_Huyện Củ Chi,Quan_Huyện Hóc Môn,Quan_Huyện Nhà Bè,Quan_Khác,Quan_Quận Bình Thạnh,Quan_Quận Bình Tân,Quan_Quận Gò Vấp,Quan_Quận Phú Nhuận,Quan_Quận Tân Bình,Quan_Quận Tân Phú,Quan_Thành phố Thủ Đức,Loai_Loại Hạng Sang,Loai_Loại Tập Thể,Loai_Loại Văn Phòng,GiayTo_Đang chờ sổ,GiayTo_Đã có sổ,CanGoc_Phải
1,3.0,2.0,2,1,2,85.0,1.0986122886681098,5.0,21.25,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
1,3.0,2.0,3,2,0,83.0,1.5040773967762742,5.0,20.75,1.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,3.0,2.0,2,1,1,90.0,1.3737155789130306,5.0,22.5,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1,2.0,2.0,2,1,1,73.0,1.547562508716013,4.0,24.333333333333332,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,2.0,2.0,2,1,1,79.0,1.0296194171811581,4.0,26.333333333333332,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,1,1,51.0,1.0116009116784799,4.0,17.0,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,2.0,2.0,2,4,8,62.0,1.0750024230289759,4.0,20.666666666666668,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
1,2.0,2.0,2,2,0,75.0,1.2837077723447896,4.0,25.0,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,1,1,62.0,1.091923300517313,4.0,20.666666666666668,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,2.0,2.0,2,1,1,56.0,1.0986122886681098,4.0,18.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,2,1,1,75.8,1.6620303625532709,4.0,25.266666666666666,0.6666666666666666,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,1.0,1.0,0,3,6,49.0,1.0885619528146082,2.0,24.5,0.5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
1,1.0,1.0,1,1,1,40.0,0.38526240079064494,2.0,20.0,0.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2.0,2.0,2,1,1,90.0,1.6863989535702288,4.0,30.0,0.6666666666666666,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,3.0,2.0,1,2,0,85.0,1.7749523509116738,5.0,21.25,1.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,2.0,2.0,0,4,1,83.0,1.3737155789130306,4.0,27.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2.0,1.0,2,1,6,65.0,1.0296194171811581,3.0,21.666666666666668,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,2,1,1,62.0,1.0986122886681098,4.0,20.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,2.0,2.0,0,7,5,73.6,1.5789787049493917,4.0,24.53333333333333,0.6666666666666666,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1,1.0,1.0,0,1,1,49.0,1.3812818192963463,2.0,24.5,0.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,1,1,78.0,1.1249295969854831,4.0,26.0,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,4,1,45.0,1.410986973710262,4.0,15.0,0.6666666666666666,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0,3.0,3.0,2,1,1,87.0,1.55814461804655,6.0,21.75,0.75,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,1.0,1.0,2,1,1,38.0,0.9162907318741551,2.0,19.0,0.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,3,1,1,79.25,1.7227665977411035,4.0,26.416666666666668,0.6666666666666666,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,2.0,2.0,2,1,1,75.0,1.252762968495368,4.0,25.0,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,3,1,1,68.0,0.9631743177730056,4.0,22.666666666666668,0.6666666666666666,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1.0,1.0,1,1,1,50.0,0.4054651081081644,2.0,25.0,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.0,2.0,2,1,8,83.0,1.536867219599265,4.0,27.666666666666668,0.6666666666666666,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1,1.0,1.0,2,1,1,34.0,0.4700036292457356,2.0,17.0,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,2.0,2.0,2,1,1,65.0,1.0647107369924282,4.0,21.666666666666668,0.6666666666666666,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
1,2.0,2.0,2,1,1,63.0,0.7793248768009976,4.0,21.0,0.6666666666666666,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0,1.0,1.0,1,1,1,48.8,1.3862943611198906,2.0,24.4,0.5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,2,1,1,56.0,0.959350221334602,3.0,18.666666666666668,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
1,1.0,1.0,2,1,1,34.0,0.4668737362368079,2.0,17.0,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,2.0,1.0,2,1,6,65.0,1.0296194171811581,3.0,21.666666666666668,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.0,2.0,1,6,3,68.0,0.9555114450274363,4.0,22.666666666666668,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,1.0,1.0,0,8,4,70.0,1.6094379124341003,2.0,35.0,0.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
