model,MAE_Test,MSE_Test,RMSE_Test,R2_Test,RMSE_Train,R2_Train,best_params
RandomForest,0.1537949377224931,0.06692748602944139,0.25870347123577875,0.5512578666375729,0.23132175349959622,0.642769728513728,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20}"
XGBoost,0.15278575273617293,0.06696962081075643,0.2587848929337963,0.5509753571220093,0.2228300524274496,0.6685158044127529,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 1500, 'max_depth': 6, 'learning_rate': 0.02, 'colsample_bytree': 0.7}"
SVR,0.19076733009802505,0.0802541004995841,0.28329154681985147,0.46190424284839093,0.28437940778914755,0.46010215610788785,"{'epsilon': 0.1, 'C': 0.01}"
Voting_Ensemble,0.151843461552664,0.06611235978802564,0.25712323852196955,0.5567232069668315,0.2253412062546809,0.661002471698612,Ensemble (Soft Voting)
